# AI-LUT unified.tbl -- generated by lut_training
# quantized: LightLevel bucket=8, ISO=full stops
# training_samples=104
# low_sample_warning: 104 < recommended 200
# Scene|LightLevel|ETTR|ALO|HTP|ISO|WB
unknown|8|increase_shutter|shadow_boost|priority_on|100|R100,G100,B100
unknown|16|increase_shutter|shadow_boost|priority_on|100|R100,G100,B100
unknown|24|increase_shutter|shadow_lift|priority_on|100|R100,G100,B100
unknown|32|keep_shutter|shadow_lift|priority_off|100|R100,G100,B100
unknown|40|keep_shutter|shadow_lift|priority_off|100|R100,G100,B100
unknown|48|keep_shutter|shadow_lift|priority_off|100|R100,G100,B100
unknown|56|keep_shutter|neutral|priority_off|100|R100,G100,B100
unknown|64|keep_shutter|neutral|priority_off|1600|R100,G100,B100
unknown|72|keep_shutter|neutral|priority_off|100|R100,G100,B100
unknown|80|keep_shutter|neutral|priority_off|100|R100,G100,B100
unknown|88|keep_shutter|neutral|priority_off|100|R100,G100,B100
unknown|96|keep_shutter|neutral|priority_off|100|R100,G100,B100
unknown|104|keep_shutter|neutral|priority_off|100|R100,G100,B100
unknown|120|keep_shutter|neutral|priority_off|100|R100,G100,B100
unknown|136|keep_shutter|neutral|priority_off|100|R100,G100,B100
unknown|144|keep_shutter|neutral|priority_off|100|R100,G100,B100
unknown|160|keep_shutter|neutral|priority_off|100|R100,G100,B100
unknown|208|reduce_shutter|neutral|priority_off|100|R100,G100,B100
unknown|232|reduce_shutter|neutral|priority_off|100|R100,G100,B100
unknown|248|reduce_shutter|neutral|priority_off|100|R100,G100,B100
